City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mitsamiouli,KM,2022-10-01 17:48:24,-11.3847,43.2844,297.16,75,28,2.28,scattered clouds
1,Talnakh,RU,2022-10-01 17:48:25,69.4865,88.3972,271.6,97,100,2.56,light snow
2,Arraial Do Cabo,BR,2022-10-01 17:48:25,-22.9661,-42.0278,297.13,64,40,9.26,scattered clouds
3,Torbay,CA,2022-10-01 17:48:26,47.6666,-52.7314,291.8,54,20,9.26,few clouds
4,Bestobe,KZ,2022-10-01 17:48:26,52.4994,73.0975,273.98,59,9,1.51,clear sky
5,Margate,GB,2022-10-01 17:45:59,51.3813,1.3862,289.99,71,36,0.89,scattered clouds
6,Hithadhoo,MV,2022-10-01 17:48:27,-0.6,73.0833,300.8,71,97,5.92,overcast clouds
7,Ati,TD,2022-10-01 17:48:27,13.2154,18.3353,308.02,23,28,0.66,scattered clouds
8,Gambo,CF,2022-10-01 17:45:44,4.6482,22.2633,295.46,94,81,1.72,light rain
9,Yanahuanca,PE,2022-10-01 17:48:28,-10.5167,-76.4986,280.72,65,95,4.92,overcast clouds
10,Chuy,UY,2022-10-01 17:48:29,-33.6971,-53.4616,291.04,63,16,4.42,few clouds
11,Ushuaia,AR,2022-10-01 17:45:54,-54.8,-68.3,280.96,57,75,11.32,broken clouds
12,Jambalo,CO,2022-10-01 17:48:29,2.7923,-76.3226,289.89,69,95,1.94,overcast clouds
13,Narsaq,GL,2022-10-01 17:48:30,60.9167,-46.05,277.27,98,100,2.32,light rain
14,Tumsar,IN,2022-10-01 17:48:30,21.3833,79.7333,296.62,79,82,1.75,broken clouds
15,Viedma,AR,2022-10-01 17:48:31,-40.8135,-62.9967,294.31,34,0,5.88,clear sky
16,Pakdasht,IR,2022-10-01 17:48:31,35.4752,51.6807,298.15,26,0,1.14,clear sky
17,Nachingwea,TZ,2022-10-01 17:48:32,-10.3833,38.7667,295.51,68,14,3.49,few clouds
18,Kifri,IQ,2022-10-01 17:48:32,34.6959,44.9661,304.29,14,0,2.16,clear sky
19,Salinopolis,BR,2022-10-01 17:48:33,-0.6136,-47.3561,302.29,68,60,6.43,broken clouds
20,Aden,YE,2022-10-01 17:48:33,12.7794,45.0367,303.82,68,1,4.2,clear sky
21,Cidreira,BR,2022-10-01 17:48:34,-30.1811,-50.2056,292.62,68,65,6.05,broken clouds
22,East London,ZA,2022-10-01 17:48:34,-33.0153,27.9116,289.67,88,0,2.57,clear sky
23,Upernavik,GL,2022-10-01 17:48:35,72.7868,-56.1549,267.91,82,40,2.69,scattered clouds
24,Halifax,CA,2022-10-01 17:43:45,44.6453,-63.5724,293.34,56,100,4.63,overcast clouds
25,Longyearbyen,SJ,2022-10-01 17:48:35,78.2186,15.6401,276.06,93,75,2.06,broken clouds
26,Ewing,US,2022-10-01 17:48:36,40.2698,-74.7999,288.72,92,100,5.14,overcast clouds
27,Busselton,AU,2022-10-01 17:48:36,-33.65,115.3333,285.89,85,50,6.66,scattered clouds
28,Cayenne,GF,2022-10-01 17:48:37,4.9333,-52.3333,306.17,58,75,6.69,broken clouds
29,Middelburg,ZA,2022-10-01 17:48:37,-25.7751,29.4648,298.67,22,1,2.55,clear sky
30,Hermanus,ZA,2022-10-01 17:48:38,-34.4187,19.2345,288.6,73,100,4.42,overcast clouds
